index,scenario:percentage-competitive,policy-implemented,policy4?,run,day,cum_infected,infections-provoked-competitive-total,infections-provoked-cooperative-total,nbr-infectious,nbr-infectious-competitive,nbr-infectious-cooperative,number-competitive-joining,number-new-competitive,time-in-queue-average,total-served,daily-infections,daily-provoked-cooperative,daily-provoked-competitive,R0,r0-cooperative,r0-competitive
0,10,policy 3,True,1,0,1,0,0,0,0,0,0,0,0.0,0,,0.0,0.0,,,
1,10,policy 3,True,1,1,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,,
2,10,policy 3,True,1,2,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,,
3,10,policy 3,True,1,3,3,0,2,1,0,1,0,0,0.0,0,2.0,2.0,0.0,2.0,2.0,
4,10,policy 3,True,1,4,3,0,2,1,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
5,10,policy 3,True,1,5,3,0,2,1,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
6,10,policy 3,True,1,6,3,0,2,1,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
7,10,policy 3,True,1,7,3,0,2,1,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
8,10,policy 3,True,1,8,3,0,2,1,0,1,6,0,19.346153846153847,61,0.0,0.0,0.0,0.0,0.0,
9,10,policy 3,True,1,9,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
10,10,policy 3,True,1,10,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
11,10,policy 3,True,1,11,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
12,10,policy 3,True,1,12,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
13,10,policy 3,True,1,13,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
14,10,policy 3,True,1,14,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
15,10,policy 3,True,1,15,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
16,10,policy 3,True,1,16,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
17,10,policy 3,True,1,17,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
18,10,policy 3,True,1,18,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
19,10,policy 3,True,1,19,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
20,10,policy 3,True,1,20,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
21,10,policy 3,True,1,21,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
22,10,policy 3,True,1,22,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
23,10,policy 3,True,1,23,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
24,10,policy 3,True,1,24,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
25,10,policy 3,True,1,25,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
26,10,policy 3,True,1,26,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
27,10,policy 3,True,1,27,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
28,10,policy 3,True,1,28,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
29,10,policy 3,True,1,29,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
30,10,policy 3,True,1,30,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
31,10,policy 3,True,1,31,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
32,10,policy 3,True,1,32,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
33,10,policy 3,True,1,33,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
34,10,policy 3,True,1,34,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
35,10,policy 3,True,1,35,3,0,2,1,0,1,6,0,18.032786885245898,61,0.0,0.0,0.0,0.0,0.0,
36,10,policy 3,True,1,36,3,0,2,1,0,1,12,0,18.637168141592923,122,0.0,0.0,0.0,0.0,0.0,
37,10,policy 3,True,1,37,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
38,10,policy 3,True,1,38,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
39,10,policy 3,True,1,39,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
40,10,policy 3,True,1,40,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
41,10,policy 3,True,1,41,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
42,10,policy 3,True,1,42,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
43,10,policy 3,True,1,43,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
44,10,policy 3,True,1,44,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
45,10,policy 3,True,1,45,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
46,10,policy 3,True,1,46,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
47,10,policy 3,True,1,47,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
48,10,policy 3,True,1,48,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
49,10,policy 3,True,1,49,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
50,10,policy 3,True,1,50,3,0,2,1,0,1,12,0,18.024590163934427,122,0.0,0.0,0.0,0.0,0.0,
