,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
0,30,3,1,2,policy 0 (baseline),False,10,214,70.84090909,1,237,6,34
1,30,3,1,2,policy 0 (baseline),False,10,426,74.69672131,1,301,3,46
2,30,3,1,2,policy 0 (baseline),False,10,256,155.7215909,1,397,3,33
3,30,3,1,2,policy 0 (baseline),False,10,273,102.1136364,1,312,6,36
4,30,3,1,2,policy 0 (baseline),False,10,36,108.4829545,1,309,3,6
5,30,3,1,2,policy 0 (baseline),False,10,141,141.8522727,1,369,5,34
6,30,3,1,2,policy 0 (baseline),False,10,458,74.76136364,1,254,4,71
7,30,3,1,2,policy 0 (baseline),False,10,202,93.44886364,1,299,4,15
8,30,3,1,2,policy 0 (baseline),False,10,198,95.48863636,1,268,5,23
9,30,3,1,2,policy 0 (baseline),False,10,491,114.7727273,1,379,3,50
10,30,3,1,3,policy 0 (baseline),False,10,247,336.9090909,2,904,3,28
11,30,3,1,3,policy 0 (baseline),False,10,86,237.6988636,2,845,4,15
12,30,3,1,3,policy 0 (baseline),False,10,220,370.2897727,2,956,5,33
13,30,3,1,3,policy 0 (baseline),False,10,363,283.3409091,2,896,4,49
14,30,3,1,3,policy 0 (baseline),False,10,2,327.1704545,2,921,2,2
15,30,3,1,3,policy 0 (baseline),False,10,507,335.2045455,2,945,3,59
16,30,3,1,3,policy 0 (baseline),False,10,258,247.3636364,2,834,3,26
17,30,3,1,3,policy 0 (baseline),False,10,340,482.9375,2,1169,4,38
18,30,3,1,3,policy 0 (baseline),False,10,187,154.4488636,2,418,3,22
19,30,3,1,3,policy 0 (baseline),False,10,298,245.7386364,2,837,4,30
20,30,3,1,4,policy 0 (baseline),False,10,94,430.2727273,3,1000,3,7
21,30,3,1,4,policy 0 (baseline),False,10,287,510.1079545,3,1023,5,34
22,30,3,1,4,policy 0 (baseline),False,10,247,506.8238636,3,1029,4,21
23,30,3,1,4,policy 0 (baseline),False,10,198,486.8977273,3,1062,4,27
24,30,3,1,4,policy 0 (baseline),False,10,496,467.3409091,3,1017,3,68
25,30,3,1,4,policy 0 (baseline),False,10,306,581.5,3,1092,3,34
26,30,3,1,4,policy 0 (baseline),False,10,318,426.0681818,3,976,2,40
27,30,3,1,4,policy 0 (baseline),False,10,134,547.4659091,3,1075,3,20
28,30,3,1,4,policy 0 (baseline),False,10,277,429.8465909,3,987,2,32
29,30,3,1,4,policy 0 (baseline),False,10,79,648.0738636,3,1105,2,10
30,30,3,1,5,policy 0 (baseline),False,10,400,625.8863636,4,1204,6,58
31,30,3,1,5,policy 0 (baseline),False,10,128,607.3465909,4,1179,3,12
32,30,3,1,5,policy 0 (baseline),False,10,207,600.1761364,4,1160,2,24
33,30,3,1,5,policy 0 (baseline),False,10,119,698.2784091,4,1285,2,11
34,30,3,1,5,policy 0 (baseline),False,10,377,622.625,4,1181,4,46
35,30,3,1,5,policy 0 (baseline),False,10,179,779.5113636,4,1802,3,17
36,30,3,1,5,policy 0 (baseline),False,10,361,789.1931818,4,1767,3,45
37,30,3,1,5,policy 0 (baseline),False,10,196,617.6534091,4,1187,2,18
38,30,3,1,5,policy 0 (baseline),False,10,125,710.7386364,4,1267,7,24
39,30,3,1,5,policy 0 (baseline),False,10,200,620.0284091,4,1193,3,28
40,30,3,1,6,policy 0 (baseline),False,10,654,831.8409091,5,1895,6,125
41,30,3,1,6,policy 0 (baseline),False,10,204,778.8352273,5,1382,6,26
42,30,3,1,6,policy 0 (baseline),False,10,541,808.1079545,5,1392,3,80
